"State","Method","Year","Month","Value"
"State1","Combined Oral (COC)",2015,"January",406636
"State1","Combined Oral (COC)",2015,"February",409566
"State1","Combined Oral (COC)",2015,"March",410898
"State1","Combined Oral (COC)",2015,"April",426800
"State1","Combined Oral (COC)",2015,"May",406236
"State1","Combined Oral (COC)",2015,"June",400482
"State1","Combined Oral (COC)",2015,"July",422620
"State1","Combined Oral (COC)",2015,"August",403764
"State1","Combined Oral (COC)",2015,"September",396605
"State1","Combined Oral (COC)",2015,"October",408730
"State1","Combined Oral (COC)",2015,"November",415373
"State1","Combined Oral (COC)",2015,"December",410062
"State1","Copper- T 380-A IUD",2015,"January",1270
"State1","Copper- T 380-A IUD",2015,"February",1276
"State1","Copper- T 380-A IUD",2015,"March",1319
"State1","Copper- T 380-A IUD",2015,"April",1296
"State1","Copper- T 380-A IUD",2015,"May",1277
"State1","Copper- T 380-A IUD",2015,"June",1295
"State1","Copper- T 380-A IUD",2015,"July",1248
"State1","Copper- T 380-A IUD",2015,"August",1275
"State1","Copper- T 380-A IUD",2015,"September",1335
"State1","Copper- T 380-A IUD",2015,"October",1230
"State1","Copper- T 380-A IUD",2015,"November",1310
"State1","Copper- T 380-A IUD",2015,"December",1286
"State1","Depo Provera (DMPA)",2015,"January",90944
"State1","Depo Provera (DMPA)",2015,"February",91853
"State1","Depo Provera (DMPA)",2015,"March",92946
"State1","Depo Provera (DMPA)",2015,"April",93758
"State1","Depo Provera (DMPA)",2015,"May",89241
"State1","Depo Provera (DMPA)",2015,"June",89544
"State1","Depo Provera (DMPA)",2015,"July",91193
"State1","Depo Provera (DMPA)",2015,"August",89687
"State1","Depo Provera (DMPA)",2015,"September",95365
"State1","Depo Provera (DMPA)",2015,"October",92060
"State1","Depo Provera (DMPA)",2015,"November",95635
"State1","Depo Provera (DMPA)",2015,"December",92831
"State1","EC",2015,"January",16014
"State1","EC",2015,"February",16127
"State1","EC",2015,"March",16463
"State1","EC",2015,"April",16128
"State1","EC",2015,"May",16014
"State1","EC",2015,"June",15989
"State1","EC",2015,"July",15641
"State1","EC",2015,"August",16587
"State1","EC",2015,"September",16153
"State1","EC",2015,"October",15679
"State1","EC",2015,"November",16501
"State1","EC",2015,"December",15555
"State1","Female Condom",2015,"January",119555
"State1","Female Condom",2015,"February",119236
"State1","Female Condom",2015,"March",129204
"State1","Female Condom",2015,"April",129122
"State1","Female Condom",2015,"May",119437
"State1","Female Condom",2015,"June",126303
"State1","Female Condom",2015,"July",124354
"State1","Female Condom",2015,"August",129059
"State1","Female Condom",2015,"September",130167
"State1","Female Condom",2015,"October",118257
"State1","Female Condom",2015,"November",122174
"State1","Female Condom",2015,"December",124124
"State1","Implanon",2015,"January",1720
"State1","Implanon",2015,"February",1740
"State1","Implanon",2015,"March",1599
"State1","Implanon",2015,"April",1626
"State1","Implanon",2015,"May",1608
"State1","Implanon",2015,"June",1665
"State1","Implanon",2015,"July",1727
"State1","Implanon",2015,"August",1731
"State1","Implanon",2015,"September",1629
"State1","Implanon",2015,"October",1726
"State1","Implanon",2015,"November",1691
"State1","Implanon",2015,"December",1629
"State1","Jadelle",2015,"January",7232
"State1","Jadelle",2015,"February",6855
"State1","Jadelle",2015,"March",7133
"State1","Jadelle",2015,"April",7339
"State1","Jadelle",2015,"May",6979
"State1","Jadelle",2015,"June",6799
"State1","Jadelle",2015,"July",7377
"State1","Jadelle",2015,"August",7333
"State1","Jadelle",2015,"September",7020
"State1","Jadelle",2015,"October",7340
"State1","Jadelle",2015,"November",6839
"State1","Jadelle",2015,"December",6831
"State1","LAM",2015,"January",7892
"State1","LAM",2015,"February",7527
"State1","LAM",2015,"March",7569
"State1","LAM",2015,"April",7322
"State1","LAM",2015,"May",7543
"State1","LAM",2015,"June",7749
"State1","LAM",2015,"July",7221
"State1","LAM",2015,"August",7790
"State1","LAM",2015,"September",7850
"State1","LAM",2015,"October",7262
"State1","LAM",2015,"November",7585
"State1","LAM",2015,"December",7363
"State1","LNG-IUS",2015,"January",0
"State1","LNG-IUS",2015,"February",0
"State1","LNG-IUS",2015,"March",0
"State1","LNG-IUS",2015,"April",0
"State1","LNG-IUS",2015,"May",0
"State1","LNG-IUS",2015,"June",0
"State1","LNG-IUS",2015,"July",0
"State1","LNG-IUS",2015,"August",0
"State1","LNG-IUS",2015,"September",0
"State1","LNG-IUS",2015,"October",0
"State1","LNG-IUS",2015,"November",0
"State1","LNG-IUS",2015,"December",0
"State1","Lunelle",2015,"January",0
"State1","Lunelle",2015,"February",0
"State1","Lunelle",2015,"March",0
"State1","Lunelle",2015,"April",0
"State1","Lunelle",2015,"May",0
"State1","Lunelle",2015,"June",0
"State1","Lunelle",2015,"July",0
"State1","Lunelle",2015,"August",0
"State1","Lunelle",2015,"September",0
"State1","Lunelle",2015,"October",0
"State1","Lunelle",2015,"November",0
"State1","Lunelle",2015,"December",0
"State1","Male Condom",2015,"January",4378731
"State1","Male Condom",2015,"February",4440446
"State1","Male Condom",2015,"March",4289985
"State1","Male Condom",2015,"April",4266246
"State1","Male Condom",2015,"May",4460117
"State1","Male Condom",2015,"June",4561874
"State1","Male Condom",2015,"July",4549573
"State1","Male Condom",2015,"August",4593252
"State1","Male Condom",2015,"September",4260659
"State1","Male Condom",2015,"October",4407286
"State1","Male Condom",2015,"November",4347829
"State1","Male Condom",2015,"December",4359059
"State1","Noristerat (NET-En)",2015,"January",2911
"State1","Noristerat (NET-En)",2015,"February",2904
"State1","Noristerat (NET-En)",2015,"March",3083
"State1","Noristerat (NET-En)",2015,"April",2981
"State1","Noristerat (NET-En)",2015,"May",3070
"State1","Noristerat (NET-En)",2015,"June",2995
"State1","Noristerat (NET-En)",2015,"July",2894
"State1","Noristerat (NET-En)",2015,"August",2984
"State1","Noristerat (NET-En)",2015,"September",3153
"State1","Noristerat (NET-En)",2015,"October",3081
"State1","Noristerat (NET-En)",2015,"November",3171
"State1","Noristerat (NET-En)",2015,"December",3160
"State1","Other Injectable",2015,"January",0
"State1","Other Injectable",2015,"February",0
"State1","Other Injectable",2015,"March",0
"State1","Other Injectable",2015,"April",0
