"Region","Method","Year","Month","Value"
"Alexandria","Combined Oral (COC)",2015,"January",104523
"Alexandria","Combined Oral (COC)",2015,"February",112810
"Alexandria","Combined Oral (COC)",2015,"March",103859
"Alexandria","Combined Oral (COC)",2015,"April",113172
"Alexandria","Combined Oral (COC)",2015,"May",113751
"Alexandria","Combined Oral (COC)",2015,"June",109397
"Alexandria","Combined Oral (COC)",2015,"July",113024
"Alexandria","Combined Oral (COC)",2015,"August",103796
"Alexandria","Combined Oral (COC)",2015,"September",108151
"Alexandria","Combined Oral (COC)",2015,"October",113688
"Alexandria","Combined Oral (COC)",2015,"November",104376
"Alexandria","Combined Oral (COC)",2015,"December",104737
"Alexandria","Copper- T 380-A IUD",2015,"January",1030
"Alexandria","Copper- T 380-A IUD",2015,"February",1046
"Alexandria","Copper- T 380-A IUD",2015,"March",1082
"Alexandria","Copper- T 380-A IUD",2015,"April",1059
"Alexandria","Copper- T 380-A IUD",2015,"May",1051
"Alexandria","Copper- T 380-A IUD",2015,"June",1075
"Alexandria","Copper- T 380-A IUD",2015,"July",1028
"Alexandria","Copper- T 380-A IUD",2015,"August",1035
"Alexandria","Copper- T 380-A IUD",2015,"September",1102
"Alexandria","Copper- T 380-A IUD",2015,"October",1008
"Alexandria","Copper- T 380-A IUD",2015,"November",1080
"Alexandria","Copper- T 380-A IUD",2015,"December",1063
"Alexandria","Depo Provera (DMPA)",2015,"January",43907
"Alexandria","Depo Provera (DMPA)",2015,"February",44519
"Alexandria","Depo Provera (DMPA)",2015,"March",43177
"Alexandria","Depo Provera (DMPA)",2015,"April",43493
"Alexandria","Depo Provera (DMPA)",2015,"May",41503
"Alexandria","Depo Provera (DMPA)",2015,"June",42151
"Alexandria","Depo Provera (DMPA)",2015,"July",43952
"Alexandria","Depo Provera (DMPA)",2015,"August",42763
"Alexandria","Depo Provera (DMPA)",2015,"September",44782
"Alexandria","Depo Provera (DMPA)",2015,"October",41888
"Alexandria","Depo Provera (DMPA)",2015,"November",45166
"Alexandria","Depo Provera (DMPA)",2015,"December",42717
"Alexandria","EC",2015,"January",16014
"Alexandria","EC",2015,"February",16127
"Alexandria","EC",2015,"March",16463
"Alexandria","EC",2015,"April",16128
"Alexandria","EC",2015,"May",16014
"Alexandria","EC",2015,"June",15989
"Alexandria","EC",2015,"July",15641
"Alexandria","EC",2015,"August",16587
"Alexandria","EC",2015,"September",16153
"Alexandria","EC",2015,"October",15679
"Alexandria","EC",2015,"November",16501
"Alexandria","EC",2015,"December",15555
"Alexandria","Female Condom",2015,"January",1494
"Alexandria","Female Condom",2015,"February",1421
"Alexandria","Female Condom",2015,"March",1379
"Alexandria","Female Condom",2015,"April",1481
"Alexandria","Female Condom",2015,"May",1438
"Alexandria","Female Condom",2015,"June",1473
"Alexandria","Female Condom",2015,"July",1378
"Alexandria","Female Condom",2015,"August",1480
"Alexandria","Female Condom",2015,"September",1385
"Alexandria","Female Condom",2015,"October",1399
"Alexandria","Female Condom",2015,"November",1364
"Alexandria","Female Condom",2015,"December",1460
"Alexandria","Implanon",2015,"January",237
"Alexandria","Implanon",2015,"February",244
"Alexandria","Implanon",2015,"March",237
"Alexandria","Implanon",2015,"April",256
"Alexandria","Implanon",2015,"May",252
"Alexandria","Implanon",2015,"June",259
"Alexandria","Implanon",2015,"July",244
"Alexandria","Implanon",2015,"August",240
"Alexandria","Implanon",2015,"September",251
"Alexandria","Implanon",2015,"October",251
"Alexandria","Implanon",2015,"November",244
"Alexandria","Implanon",2015,"December",259
"Alexandria","Jadelle",2015,"January",3167
"Alexandria","Jadelle",2015,"February",3047
"Alexandria","Jadelle",2015,"March",3005
"Alexandria","Jadelle",2015,"April",3136
"Alexandria","Jadelle",2015,"May",3036
"Alexandria","Jadelle",2015,"June",2994
"Alexandria","Jadelle",2015,"July",3177
"Alexandria","Jadelle",2015,"August",3221
"Alexandria","Jadelle",2015,"September",3124
"Alexandria","Jadelle",2015,"October",3222
"Alexandria","Jadelle",2015,"November",2949
"Alexandria","Jadelle",2015,"December",2951
"Alexandria","LAM",2015,"January",7892
"Alexandria","LAM",2015,"February",7527
"Alexandria","LAM",2015,"March",7569
"Alexandria","LAM",2015,"April",7322
"Alexandria","LAM",2015,"May",7543
"Alexandria","LAM",2015,"June",7749
"Alexandria","LAM",2015,"July",7221
"Alexandria","LAM",2015,"August",7790
